alphabet,word,definition,alternative_word,alternative_definition,
A,affratellare,"to become as breathren, to embrother",,,
A,affreddare,"to coole, to take cold",,,
A,affrenare,"to bridle, to curbe. Also to rule, to keepe in awe, to restraine",,,
A,affreno,"bridled, in awe, in feare",,,
A,affresco,a Painters worke called wash or water-colours,,,
A,affrettamento,a hastning or making speed,,,
A,affrettare,to hasten or make speed,,,
A,affrezzolare,,,,
A,affrica,"idest. coldles, or alwaies whot",,,
A,affrico,the winde South-west and by West,,,
A,affrico austro,the winde South west. and by South,,,
A,affrittellare,to frie as fritters,,,
A,affrittione,"affliction, sorrow",,,
A,affritto,"afflicted, grieued",,,
A,affrodisiace,a stone which once heatea keepes his heat seuen daies,,,
A,affrontagione,,,,
A,affrontamento,as,,,
A,affrontare,"to affront, to face, to out face, to encounter. Also to cheate or cunnicatch",,,
A,affrontata,,,,
A,affrontatore,"an affronter, a facer. Also a cheater, a cozener, a conicatcher",,,
A,affronte,"face to face, ouer against",,,
A,affronto,"an affront, an on set, a bold part, an iniury. Also a cozening. cheating tricke",,,
A,affrustare,Also to breake or shiuer in peeces,,,
A,affrusto,"by peecemeale, by scraps",,,
A,affrustrare,,,,
A,affumare,"to besmoake, to drie in the smoake as bacon, to blote hearings",,,
A,affumate,"blote hearings, dried sprate",,,
A,affumicare,,,,
A,affuocare,,,,
A,affuriate,"to enfury, to enrage",,,
A,affusare,"to spindle, to make as a spindle",,,
A,affuselare,idem. Also to stretch vpon a frame as Painters doe canuase to paint vpon it,,,
A,affusolare,,,,
A,affusolate gambe,spindle shankes,,,
A,affusolato,"smale, spinie, like a spindie Also spruce, fine, smugge, or trickt vp",,,
A,affustare,to stocke or mount peeces,,,
A,afia,a kinde of fish,,,
A,afiacca collo,"to the vtmost danger, to the breaking of ones necke",,,
A,afila,"in files, in roes, in rankes as soldiers march",,,
A,afilare,"to put into files, or roes, Also to set an edge vpon any weapon",,,
A,afilo,"leuell, by line and thrid",,,
A,afilo di spada,to the edge of the sword,,,
A,afinimondi,to the worlds end,,,
A,afittare,,,,
A,afitto,as,Affitto.,,
A,aflare,,,,
A,afliggere,as,,,
A,aflittione,,,,
A,afluente,,,,
A,afondo,"to the bottome, deepe",,,
A,aforisticamente.,"briefly, succinctly",,,
A,aforza,,,,
A,afracasso,"in ruine, to hauocke",,,
A,afreno,"bridled, in awe, in feare",,,
A,afresco,as,,,
A,afronte,"face to face, ouer against",,,
A,afuoco,"to the fire, with fire",,,
A,afuoco et ferro,with fire and sword,,,
A,afuria,"in fury, furiously",,,
A,afurore,in fury. Also furiously,,,
A,afusone,"spindled. shanked, staued",,,
A,ag,oz,"z?_no,","a Seriant, a Catchpole, a Beadle, a Prouest marshall, a Surueior of good orders. Also a captaine ouer slaues in a galley. Also an executioner or hangman. Also a clerk of the market",
A,agabbamento,"a mocking, a flouting",,,
A,agabbare,"to m<*>cke, to flout, to iest",,,
A,agabbo,"in mockery, in iest",,,
A,agacciare identi,to set ones teeth an edge,,,
A,agaglino,a kind of coine in Italy,,,
A,agala,"a flote, floting as corke vpon the water",,,
A,agalare,to flote lightly vpon the water,,,
A,agalma,"an image, a statue. Also a cifer or mysterious obscure caracter",,,
A,agalmaria,a place where images are kept,,,
A,agalmone,any obscure or mysticall language,,,
A,agalmonico,"obscure, mysterious, alluding to some other thing, equiuocall",,,
A,agamo,"a batcheler, an vnmarried man",,,
A,aganciare,"to make sharpe-pointed, or keene",,,
A,agancio,"sharpe-pointed, keene",,,
A,aganipidi,hath been vsed for the nine M uses,,,
A,agapi,a yellow stone that cureth the stinging of Serpents,,,
A,agara,"striuingly, for the maistery",,,
A,agarico,"a white fungous excrescence growing out of trees, vsed in physicke. Agarike",,,
A,agasilli,the hearb whereof Ammonike is made,,,
A,agasone,is properly a leader of wilde beasts when they are tame,,,
A,agata,an Agate stone,,,
A,agato,the needle-fish,,,
A,agatone,"a crafty, slie, suttle fellow",,,
A,agauignare,"to claspe fast, to tugge, to touze, to wrestle or clinch about",,,
A,agauocciare,,,,
A,agelare,to freeze,,,
A,agelasto,a man that neuer laughs,,,
A,agemma,looke,,,
A,agente,"acting, working Also an agent, a factor, a doer, a negotiator",,,
A,agenza sp. hazienda.,,,,
A,agerato,an hearb of the Ferula kind,,,
A,ageuolare,to make easie or facile,,,
A,ageuole,"easie, facile Also tractable, gentle, nimble, light, ethe",,,
A,ageuolezza,"facility, easinesse. Also agility, dexterity, nimblenesse",,,
A,ageuolissimamente,most easily,,,
A,ageuolmente,"easily, with facility",,,
A,aggabbare,"to mocke, to flout, to iest",,,
A,aggabbo,"in mockery, in iest",,,
A,aggaffare,to catch or snatch vp,,,
A,aggarbare,,,,
A,aggarbato,as,,,
A,aggarbatura,,,,
A,aggarbeggiare,,,,
A,aggarbo,as,,,
A,aggecchirsi,"to grow faint hearted, to become a coward or a",,"dastard, to loose ones courage",
A,aggeggia,a moore-hen,,,
A,aggegnare,"to frame any kind of carpenter<*>, ioiners or smiths work or building, so that it may be taken asunder and set vp againe, to engine together",,,
A,aggelare,to fre<*>ze,,,
A,aggerato,"the hearb Cotton-weed, Stechado, or Moth-weed",,,
A,aggettare,"to abiect, to reiect or cast from",,,
A,aggettiuo,a noune adiectiue,,,
A,aggetto,"abiect, outcast, despised, base",,,
A,agghiacciare,"to freeze, to become frost",,,
A,agghiadare,,,,
A,aggiaccarsi,"to put on a iacket, or shirt of maile. Also as",,,
A,aggiaccato,with a iacket or shirt of maile on. Also become faint hearted or a coward,,,
A,aggiacciare,"to freeze or grow to frost or ice. Also to vnderprop, or make sure",,,
A,aggiacente,"adiacent, neere-lying",,,
A,aggiacere,"to lie neere vnto, to neighbour",,,
A,aggiallare,to make or become yellow,,,
A,aggielare,to freeze or grow to frost,,,
A,aggiogare,to yoke vnto,,,
A,aggiongere,,,,
A,aggionta,,,,
A,aggiontare,,,,
A,aggiontatore,,,,
A,aggiontione,"an adiunct, an addition",,,
A,aggionto,"adioined, annexed, added vnto. Also ouertaken or ouer-reached, or ouer gone. Also arriued or come to any place. Also an addition or adiunct",,,
A,aggiornamento,an adiourning. Also a proroguing to a day. Also a summoning,,,
A,aggiornare,"to adiorne, to summon. Also to wax day. Also to prorogue to a day",,,
A,aggiornatore,"an apparitor, a summoner",,,
A,aggiramenti,,,,
A,aggirare,,,,
A,aggirarsi in vano,"to loose labour, to go about had I wist",,,
A,aggirata,"a winding, a turning or walking about",,,
A,aggirone,a kind of hat or cap,,,
A,aggiudicare,"to adiudge, to doome",,,
A,aggiugnere,or,"gi?_nto,","to adioine, to annex, to adde vnto. Also to reach vnto or ouertake. Also to outgo, to ouer-reach, to ouergoe. Also to ariue, to come, or reach to any place",
A,aggiungere,,,,
A,aggiunta,an addition or annexing vnto. Also reaching or ouertaking. Also an arriuing or comming to a place. Also the vantage that Bakers or any,,other man that selleth a thing giueth to the buier in euery dozen or hundred,
A,aggiuntare,,,,
A,aggiunto,as,,,
A,aggiurare,"to adiure, to vrge",,,
A,aggiustare,"to make iust, euen or leueli",,,
A,aggiustare vn pezzo,to leuell a piece,,,
A,aggiusteuole,that may be made iust,,,
A,agglobare,to en-globe or make round,,,
A,agglomeramento,a winding vp as a bottom or clue of thrid,,,
A,agglomerare,,,,
A,agglutinare,to glue vnto,,,
A,aggobbare,,,,
A,aggoluppare,,,,
A,aggomicciolare,to wind vp round as a clue of thrid,,,
A,aggomicciolo,a clue or bottom of thrid. Also any round bundle,,,
A,aggomitolare,,,,
A,aggomitolo,as,,,
A,aggottare,to drop. Also to swell or puffe as one full of wind or dropsie,,,
A,aggottoso,full of drops. Also swolne or puft vp as with wind or dropsie,,,
A,aggradare,,,,
A,aggradire,,,,
A,aggraffare,,,,
A,aggraffiare,to scratch. Also to scramble,,,
A,aggranchiare,"to seaze on, to gripe or take hold of with clawes, to crampe or haue the cramp. Also to stiffen or benum with cold. Also to scratch or to torture",,,
A,aggrandimento,a making or becomming great,,,
A,aggrandire,to make or become great,,,
A,aggrappamento,"a grapling, a griping. Also ashrinking. Also a clammering",,,
A,aggrappare,"to graple, to gripe. Also to shrinke vp. Also to clammer or rampe",,,
A,aggrappeuole,"that may bee grapled, griped, or taken hold of",,,
A,aggratare,,,,
A,aggratiare,to grace,,,
A,aggratiatino,"gratious, or comely",,,
A,aggratiato,"gracefull, graced, full of grace and comelinesse",,,
A,aggratta,Also a watch towre,,,
A,aggrattare,to scratch,,,
A,aggratticciare,"to make hurdle or great wise. Also to clinch, to graple or gripe fast. Also to broile vpon a gridiron. Also to be entangled in some grate or hurdle",,,
A,aggrattigliare,Also to tickle with clawing or scratching. Also vsed for to sooth vp and flatter a man with faire words,,,
A,aggrauamento,as,,,
A,aggrauare,to aggrauate. Also to har-,,den as Pharaoes heart was,
A,aggrauio,"a grieuance, a burthening",,,
A,aggrauoso,"gricuous, burthen some",,,
A,aggregare,"to aggregate, to assemble",,,
A,aggregatione,an assembly or aggregation,,,
A,aggregato,as,,,
A,aggreggiare,"to flocke, to troupe, to heard",,,
A,aggreuamento,a grieuance,,,
A,aggricciamenti,"astonishments, starings of ones haires",,,
A,aggricciare,"to a stony, to affright or make ones haire stand an end",,,
A,aggricciolare,"to become toish, humorous or phantasticall",,,
A,aggrigiare,to make or become gray,,,
A,aggrinzare,"to wither, to wrinkle",,,
A,aggroppamento,a fast knotting,,,
A,aggroppare,to knot together fast. Also to shrinke as it were in a knot,,,
A,aggropparsi,is properly when a horse knits himselfe close together to shew the strength of his backe. Also to shrinke backe,,,
A,aggrottare,to make or become rugged or craggic,,,
A,aggrottare le ciglia,"to froun, to skoule, to lowre or looke grim",,,
A,aggrumare,"to heape or scrape together. Also to make sharpe. Also to roule or wind vp as a clue of thrid. Also to make or become soure, sharpe, or tart in tast",,,
A,aggruppare,,,,
A,agguaglianza,an equalling or matching,,,
A,agguagliare,"to equall, to compare",,,
A,agguaglio,"an equalling, a paragon",,,
A,agguardare,"to regard, to behold",,,
A,agguatare,to watch at an aduantage,,,
A,agguato,a watch set for entrapping,,,
A,agguattare,,,,
A,agguazzare,,,,
A,aggucchiaro,as,,,
A,agguerrire,,,,
A,agguindolare,to reele or wind silke,,,
A,agguindolatore,a reeler of silk or yarne,,,
A,aghedare,to freeze,,,
A,agherbino,the South-west wind,,,
A,aghiadare,to freeze,,,
A,aghiado,with or by the sword. Also benummed with cold. Also vpon colde blood. Also perforce or vpon constraint,,,
A,aghirone,an Hearon,,,
A,agiambo,a kind of steele so called,,,
A,agiamento,any kind of casement. Also a priuie,,,
A,agiare,"to ease, to accomodate, to place at ease. Also to grow a God",,,
A,agiaroso,"sandie, grauelly, grettie",,,
A,agiatamente,"easily, comodiouslie. Also agedly",,,
A,agiato,"eased, setled comodiously. Also",,"able to liue, or wealthie. Also aged",
A,agibile,that may be acted or done,,,
A,agies,"an hearb in India where of they make good bread, and yet the iuice is poison",,,
A,agile,"agile, easie, nimble, light",,,
A,agilit??_,,,,
A,agilitare,to make easie or nimble,,,
A,agimina,a kind of tapistrie worke or damaske worke in Persian blades,,,
A,aginina,a kind of networke worne ouer tinsell or cloth of gold to make it shew clinkant,,,
A,agio,"ease, leasure while, conueniencie, com dity. Also age",,,
A,agioccia,"by drops, droppingly",,,
A,agiocciare,"to drop, to trill",,,
A,agioco,"in sport, in game, in iest. Also sea-room,",la n??ue v?_ agi?_co,the ship hath sea-roome. Also,
A,agiogare,to yoke or couple together,,,
A,agiogo,by yokes or couples,,,
A,agiosa,"plenteouslie, store, enough and to spare, hold belly hold",,,
A,agiotto,an Eagle called an Ospraie,,,
A,agirabile,that may be turned about,,,
A,agiramenti,,,,
A,agirare,or,,,
A,agironda,about and about,,,
A,agirone,an Hearon,,,
A,agironi,geronie in armorie,,,
A,agitare,to mooue or stir or tosse vp and downe. Also to perturbe the mind,,,
A,agitatione,"agitation, motion or tossing vp and downe. Also perturbation of mind",,,
A,agiteuole,that may be agitated,,,
A,agitilla,a white stone with blacke streakes in it,,,
A,agito,a kind of waight in India,,,
A,agitto,"at a cast, at once, at a throw. Also framed by casting as great ordenance. Also a sport that children vse in Italie called",Alle ?ssa,"that is with vs at ninepinnes or heeles, and what one doth cast downe at the first throw they say,",
A,agiure,by or according to law,,,
A,agla,a kind of flat fish like a Flounder,,,
A,aglaphotino,an hearb vsed of enchanters,,,
A,aglaudo,"a dogs name, White tooth",,,
A,agliado,as,,,
A,agliata,a meat made of garlicke,,,
A,aglietti,yong or little Garlickes,,,
A,aglio,Garlicke,,,
A,agliona,,,,
A,aglione,,,,
A,aglioso,"full, or tasting of Garlicke",,,
A,agna,an eaw Lamb,,,
A,agnatione,kindred by the fathers side,,Also growing out of natures course,
A,agnato,a kinsman by the fathers side Also growne beyond natures course,,,
A,agnellare,to yeane as an eawe,,,
A,agnellatto,as,Agnello.,,
A,agnello,a Lambe,,,
A,agni,lambes. Also a kind of little fish,,,
A,agnista piombina,,,,
A,agnitione,"agnition, acknowledgement",,,
A,agniun modo,"by no meanes, in no manner",,,
A,agno,an he lambe. Also afellon in one. finger,,,
A,agnocasto,looke,,,
A,agnoletto,a little lamb in,,,
A,agnolo,an Angell. Also a kind of bird,,,
A,agnome,"a sirname, a nicke name",,,
A,agnominare,"to sirname, to nickename",,,
A,agnominatione,agnomination,,,
A,agnone,the chast tree or willow,,,
A,agnun modo,"by no means, in no maner",,,
A,agnus dei,a lambe with a crossr. Also a kind of rauenous sea-foule,"Guard??re in agnus de,","that is to look bac<*>, because the",
A,ago,"a needle, a sharp sting or prick. Also the Needle-fish or hornebacke. Also the chaffe comming from winnowed or bolted corne",,,
A,ago a pomo,a pin with a head,,,
A,ago da pomella,,,,
A,ago da sacchi,a packe-needle,,,
A,ago voto,an emptie needle,,,
A,agoge,a trench or conduit that miners make to draine the waters they meete withall,,,
A,agognante damma,a Doe embost,,,
A,agognanti cani,dogs panting and lilling out their tongues,,,
A,agognare,"to wish, to desire, to couet or long for with sighing. Also to pant and bee out of breath or <*>ill out the tongue as a dog that is weary, to embosse as a deare",,,
A,agogno,"carke or care of mind. Also sighingly, desirous and longing for",,,
A,agolpire,to enfox or become foxe-like,,,
A,agoluppare,,,,
A,agoluppo,as,,,
A,agomentare,"to argue, to dispute",,,
A,agomitolare,,,,
A,agone,"a place in Rome to ride horses in, now called",Piazza nau?_na.,"Also a campe, a battell, a combat",
A,agoni,a kind of dainty fish,,,
A,agonia,"agonie, trembling for feare",,,
A,agonioso,full of agony or anguish,,,
A,agonista,"a champion, a publike fighter",,,
A,agonizzante,"anguishing, languishing in agony. Also panting for breath, as we say embossed",,,
A,agonizzare,"to anguish, to be or languish in agony. Also to fight a publike combat. Also to pant for breath",,,
A,agono,a fish called in latine Agonus,,,
A,agonta,a kinde of ancient coine in Italie,,,
A,agonzi,"certaine broad sleeues as those of a gowne, of a master of Art in Oxford",,,
A,agora,all manner of needles,,,
A,agorgogliare,,,,
A,agosello,as,Agufeo.,,
A,agostane,a kinde of August plum,,,
A,agostaro,an ancient coine of Augustus,,,
A,agosto,the moneth August,,,
A,agotile,a kinde of strange bird,,,
A,agracchiare,,,,
A,agradare,,,,
A,agradire,,,,
A,agrado,acceptablie in good worth,,,
A,agramente,"eagerly, sharply",,,
A,agramonia,,,,
A,agran fatica,with much labour,,,
A,agran giornate,by long iorneis,,,
A,agran pena,with much paine,,,
A,agran pezze,by a great deale or while,,,
A,agran voce,"with a high voice, loudlie",,,
A,agranchiare,,,,
A,agrandellare,to burle with fury,,,
A,agrantorto,most wrongfully,,,
A,agraria,of or pertaining to lands. Also a law made for the distributing of lands among the people,,,
A,agrario,a field-man. Also a fauourer of that law,,,
A,agratiare,to grace,,,
A,agratiato,graced. Also gracefull,,,
A,agraticciare,"to scratch, to scrape",,,
A,agrauare,"to agrauate, to oppresse",,,
A,agrauio,"grieuance, oppression",,,
A,agredine,"sharpnesse, sourenesse,",,,
A,agreganza,an assemblie or aggregation,,,
A,agregare,"to assemble, to aggregate",,,
A,agregatione,,,,
A,agreste,"rusticall, rurall, clounish. Also a swine or vplandish man",,,
A,agrestina,a kinde of sourishsauce,,,
A,agresto,"vnripe grapes. Also vertiuice or alligar. Also water cresses, or waterkarnes, or Nosesmart. Also a soure surly fellow",,,
A,agretto,sourish. Also water-creasses. Also soure wig. Also butter-milke,,,
A,agreuamento,a grieuance,,,
A,agrezza,"egernesse, sourenesse",,,
A,agrico,"rusticall, rurall, clownish",,,
A,agricola,"a till-man, a Ploughman, a husband-man",,,
A,agricoltore,,,,
A,agricoltura,"tillage, plowing, husbandrie, harrowing",,,
A,agrifolio,"the Holly, or Huluer-tree. Also a kinde of Withie or willow, called in Latine Agnus castus, and in English Parke-leaues, Abrahams balme, the Clust or Hemp-tree",,,
A,agrimonia,the hearbe Agrimony or Liuer-wort. Also tartnesse or sharpnesse on the tongue,,,
A,agrimonio,tarte or biting the tongue,,,
A,agrinciare,"to wrinkle, to wither",,,
A,agrio,"Sauage, belonging to the fields. Also a kind of wilde Spikenard",,,
A,agrione,"a kind of radishroote, horseradish. Also a kinde of Nitre",,,
A,agriophagi,people that feede on Panthers or Lions,,,
A,agrippa,a child borne with his feete forward. Also a wilde Oliue. Also an hearbe,,,
A,agrire,"to make or become eager, sharpe, or soure. Also to exasperate",,,
A,agro,"eager, soure, tart, vnripe. Also fierce and cruell. Also a field. Also the winde Garbino",,,
A,agropparsi,,,,
A,agrosto,Stitchwort or Dogsgrasse,,,
A,agrotto marino,"a bird like aswan, braying like an Asse",,,
A,agrumare,,,,
A,agrume,"eagernesse, sourenesse, tartnes. Also any kind of soure meate, or sauce",,,
A,agruzzo,the frounze in a hauke,,,
A,agruzzolare,to scrape together,,,
A,aguaglianza,"equaling, comparision",,,
A,aguaio,woe or affliction,,,
A,aguaire,"to enwo, or afflict",,,
A,aguale,"equall, euen",,,
A,aguatare,,,,
A,aguati,"watchings, lurkings, scoutes, wiles. Also ambushes",,,
A,aguazzare,,,,
A,aguazzo,in wading manner. Also plashingly. Also wash or water coloures,,,
A,agucchia,"a Needle, any sharpe pricke or sting. Also a spire of a steeple, or sharp pinacle, a sharpe pointed piramides. Also knit or wrought with needles. Also amongst gunners a pricker or pruning iron",,,
A,agucchia da pomo,a Pine with a head,,,
A,agucchia rampinata,a crooked Iron that gunners vse to finde the thicknes of chambred peeces of the breach,,,
A,agucchiare,"to thrid a nedle, to needle, to pin with pins. Also to make sharpe as a needle. Also to knit or worke with needles",,,
A,agucchiaruolo,a nedlemaker. Also a pinner or pinmaker,,,
A,agucchiato,"needled, or knit with needles",,,
A,agueffare,to match or ioyne together,,,
A,aguerrire,"to enwar, to enure, or traine vp to war, to make or become a warrior",,,
A,agufeo,"an celepout, or as some thinke a kinde of dog-fish",,,
A,agugione,,,,
A,aguglia,Also an Eagle,,,
A,agugliare,,,,
A,aguglino,a kind of graine in Italy,,,
A,aguglionare,"to needle, to make sharpe pointed. Also to pricke, to sting, or to goade",,,
A,aguglione,a great,Ag?cchia.,Also a great Eagle. Also a spike of iron. Also a pricker or pruning or priming Iron,
A,agugnare,,,,
A,agugno,as,,,
A,aguifolio,as,,,
A,aguisa,"in manner, guise or fashion",,,
A,aguisare,"to enure, to accustome",,,
A,agulla,a fish called a roch,,,
A,aguluppare,,,,
A,aguluppo,as,,,
A,agunanza,an assembly,,,
A,agunare,to assemble together,,,
A,agura,as,,,
A,agurare,,,,
A,aguroso,as,,,
A,aguseo,as,Agufeo.,,
A,agutezza,,,,
A,aguto,,,,
A,aguzza coltelli,a whetter of kniues,,,
A,aguzzare,"to make sharpe pointed. Also to whet, to make keene or to set an edge vpon. Also to set on, to ensharpen, to entice",,,
A,aguzzatore,"a grinder, or whetter of any weapon. Also a sharper",,,
A,aguzzetta,oz,,,
A,aguzzino,as,Ag,oz,
A,aguzzo,as,"Acuto,","sharpe, keene",
A,ah,"alas, oh, aye me, welledaie. Also instead of an answer when one is called, ah? what? what now?",,,
A,ahessia,the hearbe orchanet or Alkanet,,,
A,ahi,"alas, aye me, oh",,,
A,ahotta,"now at this time, at this houre. Also at some houres, sometimes",,,
A,ahumiliare,"to humble, to enmeeken",,,
A,ahuomo per huomo,"man by man, or man for man",,,
A,ai,"to the, by the. Also from the",,,
A,ai'a,"a court yard or plot of ground desseigned for any building, an open meeting place in a citie where Marchants resort and meete as in the Exchange at London, the floore of a house or barne, a threshing floore. Also a voide space in some figures. Also a plot a bed, a quarter or broad banke in a garden. Also a round circle about a",,"starre. Mettersi in aie, a prouerbe, as much to say as for one to put him self into a pecke of troubles, or to meddle with what belongs not to him, to put his oare into another mans boate, &c",
A,aiace,a flower so called,,,
A,aiare,"to floore any roome or low foundation. Also to thresh or tread corne. Also to make into beds, quarters or plats as gardens are. Also to loiter and gaze vp, and downeidly, to houer and linger about as a kite about his pray",,,
A,aiato,looke,,,
A,aiere,or,,,
A,aieroso,"airy, as",,,
A,aierotta,the breath of man or woman,,,
A,aietta,"abuzzard, or a puttocke",,,
A,aigleuco vino,sweet hollocke wine,,,
A,aime,"ay me, alas, woe is me",,,
A,aio,"a fosterer, an ouerseer, a ruler, a bringer vp. Also a cuckoe-bird. Also a long-tongued knaue, one that vttereth all be knowes. Also a darling, a minion, a fauorite",,,
A,aiolo,as,,,
A,aione,looke,,,
A,aiosa,"store, good plentie, hold bellie hold",,,
A,aira,,,,
A,airemante,a deuiner by the aire,,,
A,airemantia,diuination by the aire,,,
A,airone,an hearon,,,
A,aissa,,,,
A,aissare,,,,
A,aissatore,,,,
A,aita,"aide, helpe, succour",,,
A,aita#2,,,,
A,aitante,"aiding, helpfull. Also lusty or that can helpe himselfe",,,
A,aitare,"to aide, to helpe, to succor",,,
A,aitatore,"an ayder, a helper",,,
A,aiteuole,"helpfull, that may helpe",,,
A,aitoreare,to helpe for ward,,,
A,aitorio,"aide, helpe, succor",,,
A,aiuola,a little,,,
A,aiuolare,,,,
A,aiuolo,a kinde of net to catch birdes with,,,
A,aiutante,,,,
A,aiutante di cammera,a Groome of a chamber,,,
A,aiutare,"to aide, to helpe, to succor",,,
A,aiutatore,"a helper, an aider",,,
A,aiuteuole,"helpefull, that may helpe",,,
A,aiuto,"aid, helpe, succour",,,
A,aiutore,"an aider, an helper",,,
A,aiutorii,the arme-bones of a man,,,
A,aiutorio,"aide, helpe, succor",,,
A,aiutrice,a she helper,,,
A,aizza,a prouocation or egging on. Also anger or wrath. Also a hissing,,,
A,aizzare,"to prouoke, to set or egge on,",,to hisse on as they doe dogges vpon Beares,
A,aizzatore,"a prouoker, an egger or hisser or setter on, angry, or reuengefull",,,
A,aizzone,"houselecke, sea greene, Mosetale, or Prickmadam",,,
A,aizzoso,"ful of prouocation or hissing on, quarellous reuengefull",,,
A,aizzotto,as,,,
A,al,"a signe of the Datiue, to the, at the",,,
A,al di dentro,in ward. Also within,,,
A,al di dietro,behind-ward,,,
A,al di fuori,"out wardly, without",,,
A,al di longo,"at length, forth-right",,,
A,al di sopra,"aboue, ouer, or vpon",,,
A,al diritto,"forth-right, directly, right on",,,
A,al disotto,"vnder, vnderneath, below",,,
A,al dispetto,"in despight, maugre ones will",,,
A,al disteso,"at large, with extention",,,
A,al disuso,against vse or custome,,,
A,al palese,"publikely, manifestly",,,
A,al pari,"euen, alike, matched",,,
A,al pi??_ alpiede,,,,
A,al possibile,to the vtmost possibility,,,
A,al postutto,"in the end, after all. Also to the vtmost of all possibility",,,
A,al segreto,"secretly, priuily",,,
A,al sereno,in the cleare or open aire,,,
A,al subito,"at the suddaine, suddainly",,,
A,al'antica,after the ancient fashion,,,
A,al'aperta,"openly, manifestly",,,
A,al'auentata,"furiously, headlong",,,
A,al'erta,"heedfully prepared against dangers, watchfull at all aduantages",,,
A,al'impensata,"extempore, not thought on",,,
A,al'imprescia,in great haste,,,
A,al'improuiso,"vnprouided for, extempore",,,
A,al'improuista,,,,
A,al'impura,"impurely, vnchastly",,,
A,al'incanto,"at who giues most, or sold by a common crier",,,
A,al'incontro,"ouer against, opposite",,,
A,al'opposito,"opposite, ouer against",,,
A,ala,"a signe of the Ablatiue, from the, from him","Al c?_rpo,",,
A,ala barra,at the barre or barriers,,,
A,ala buona,"plainely, with a good intent",,,
A,ala busca,in proling or shifting maner,,,
A,ala caecia,a hunting a chasing,,,
A,ala carlona,"plainely, Dunstable-way",,,
A,ala di bue,"the wing of an Oxe, by metaphore, an Epicure or tall trencherman that makes no more of the shoulder of an Oxe then of the wing of a Capon",,,
A,ala distesa,"at large, out stretchedly",,,
A,ala fede buona,in good faith,,,
A,ala moderna,after the modern fashio,,,
A,ala pedona,like a fcotman,,,
A,ala riuerscia,"waiwardly, inside outward, contrarie, topsituruy",,,
A,ala sboccata,,,,
A,ala sgangerata,rashly out of frame,,,
A,ala spiegata,"at large, displciedly",,,
A,ala sprouista,"idem, vnprouidedly",,,
A,alabandino,a kinde of ruby or carbuncle stone,,,
A,alabarba,before or in disgrace of ones beard,,,
A,alabarda,a holbard,,,
A,alabardare,to strike with holbards,,,
A,alabardaro,"a holbardier, or maker",,,
A,alabarderia,the vocation or troupe of holbardiers,,,
A,alabardica,a kinde of whitishrose,,,
A,alabardiere,a holbardier,,,
A,alabardina,"a little holbard. Also a yellow stone which being drunk in powder is good against poison, but it causeth the bloody flux",,,
A,alabastrino,made of Alleblaster,,,
A,alabastrite,the Onix stone,,,
A,alabastro,"the Alabaster stone. Also a white and shining minerall or stone found in Mines of siluer, vsed, in Physike, called by Paracelsus Antimonium",,,
A,alacciamenti,,,,
A,alacciare,,,,
A,alace,a meate made of spaunes of fishes,,,
A,alacrit??_,,,,
A,alada,in Latine,,,
A,alaffio,a kinde of Pomegranet,,,
A,alafia,"a kinde of whistling of a Maister or Masters-mate of a ship when be can not be heard speake, but would command attention and ceasing from labour",,,
A,alagamento,an enlaking or ouerflowing,,,
A,alagare,to ouerflow or turne to a Lake,,,
A,alaggio,the alloye or value of coine as it is allowed by a Prince. Also the losse of mony by exchange,,,
A,alagna,vsed for Germany,,,
A,alamana,an Almane in musicke,,,
A,alamari,such long-loope buttens as are commonly worne on cloakes or gounes,,,
A,alambicare,to distill in a Limbecke,,,
A,alambico,a Limbeck or still,,,
A,alamoi,a certain sound in Musicke raised aboue others,,,
A,alanda,"a Larke, also a Bunting",,,
A,alano,a mastiue dog,,,
A,alantide,the filme that compasseth the skin wherein the infant is wrapped,,,
A,alardare,"to lard, to inlard",,,
A,alare,wing or set wings on,,,
A,alari,andirons set in chimneis,,,
A,alarma,an alaram in time of war. Also to armes or weapons. also the name of march or warning sounded vpon drum or trumpet,,,
A,alasignete,a kinde of hearbe,,,
A,alasproueduta,extempore suddenly,,,
A,alaterno,a tree like an Oliue or Holme tree,,,
A,alato,"winged, hauing wings. Also neore vnto, hard by, close to ones side. Also in regard, or in respect. Also as","P??gaso,",a signe in heauen so called of the horse,
A,alavoga,"a, but that this encourageth the Mariners to worke and labour lustily",,,
A,alba,the dawne or breake of day. Also a white sow,,,
A,alba delle mosche,cleare daie-light,,,
A,alba spina,the white thorne. Also the white or Ladie-thistle,,,
A,albagia,"fondnesse, peeuishnesse. Also a toyish conceit, a proud selfe will, a humour",,,
A,albana,a kinde of Malmesia,,,
A,albano,a kinde of tree. Also a coine. Also a kind of excellent wine in Albania,,,
A,albara,a kind of pitch-tree,,,
A,albarello,agali-pot. Also a little measure. Also a Limbecke or stillatorie,,,
A,albari,a kinde of seafishes,,,
A,albatro,the Strawbery tree. Also a kind of wild sowre Orenge,,,
A,albazzano,a stone to make lime with,,,
A,albedine,,,,
A,albeggiare,to dawne or whiten as the morning at breake of day,,,
A,albenduccio,"a let, an impediment",,,
A,albeo,as,Alueo.,Also a Pitch-tree,
